"item","date","price","trend_value","flag","sentiment","stars"
"B00G4DSSN8","2016-02-05","319","62.75","0.0","",""
"B00OPY0QGA","2016-02-06","426.95","62.5","0.0","",""
"B00GOFU81Q","2016-02-06","199","62.5","0.0","",""
"B00G4DSSN8","2016-02-06","319","62.5","0.0","",""
"B00OPY0QGA","2016-02-17","436","55","0.0","",""
"B00GOFU81Q","2016-02-17","189.6","55","0.0","",""
"B00G4DSSN8","2016-02-17","318.39","55","0.0","",""
"B00GOFU81Q","2016-02-18","184.9","54.625","0.0","",""
"B00G4DSSN8","2016-02-18","318.39","54.625","0.0","",""
"B00OPY0QGA","2016-02-18","429.99","54.625","0.0","",""
"B00G4DSSN8","2016-02-19","301.9","54.25","0.0","",""
"B00OPY0QGA","2016-02-19","392","54.25","0.0","",""
"B00GOFU81Q","2016-02-19","191.4","54.25","0.0","",""
"B00GOFU81Q","2016-02-20","194.9","53.5","0.0","",""
"B00G4DSSN8","2016-02-20","305.2","53.5","0.0","",""
"B00OPY0QGA","2016-02-20","429.99","53.5","0.0","",""
"B00GOFU81Q","2016-02-23","192.49","54.25","0.0","",""
"B00G4DSSN8","2016-02-23","318.39","54.25","0.0","",""
"B00OPY0QGA","2016-02-23","434.99","54.25","0.0","",""
"B00OPY0QGA","2016-02-24","425","55","0.0","",""
"B00GOFU81Q","2016-02-24","195.19","55","0.0","",""
"B00G4DSSN8","2016-02-24","318.39","55","0.0","",""
"B00G4DSSN8","2016-02-25","305.2","55.375","0.0","",""
"B00OPY0QGA","2016-02-25","431.99","55.375","0.0","",""
"B00GOFU81Q","2016-02-25","195.19","55.375","0.0","",""
"B00OPY0QGA","2016-02-26","422.99","55.75","0.0","",""
"B00GOFU81Q","2016-02-26","199","55.75","0.0","",""
"B00G4DSSN8","2016-02-26","310","55.75","0.0","",""
"B00DP4AR10","2015-11-03","32.51","11.625","0.0","",""
"B00DP4AR10","2015-11-04","32.29","15.5","0.0","",""
"B00DP4AR10","2015-11-05","32.12","17.4375","0.0","",""
"B00DP4AR10","2015-11-06","32.26","19.375","0.0","",""
"B00DP4AR10","2015-11-07","32.26","23.25","0.0","",""
"B00DP4AR10","2015-11-08","32.26","31","0.0","",""
"B00DP4AR10","2015-11-09","32.26","23.25","0.0","",""
"B00DP4AR10","2015-11-10","32.57","19.375","0.0","",""
"B00DP4AR10","2015-11-11","32.57","15.5","0.0","",""
"B00DP4AR10","2015-11-12","33.18","13.5625","0.0","",""
"B00DP4AR10","2015-11-13","33.09","11.625","0.0","",""
"B00DP4AR10","2015-11-14","33.59","7.75","0.0","",""
"B00DP4AR10","2015-11-15","37.58","0","0.0","",""
"B00DP4AR10","2015-11-16","33.59","0","0.0","",""
"B00DP4AR10","2015-11-17","37.61","0","0.0","",""
"B00DP4AR10","2015-11-18","37.55","0","0.0","",""
"B00DP4AR10","2015-11-19","33.86","0","0.0","",""
"B00DP4AR10","2015-11-20","33.86","0","0.0","",""
"B00DP4AR10","2015-11-21","33.76","0","0.0","",""
"B00DP4AR10","2015-12-03","39.68","18","1000.0","",""
"B00DP4AR10","2015-12-04","35.81","20","1000.0","",""
"B00DP4AR10","2015-12-05","36.13","24","1000.0","",""
"B00DP4AR10","2015-12-06","36.13","32","1000.0","",""
"B00DP4AR10","2015-12-07","36.13","32.25","1000.0","",""
"B00DP4AR10","2015-12-08","36.79","32.375","1000.0","",""
"B00DP4AR10","2015-12-09","36.15","32.5","1000.0","",""
"B00DP4AR10","2015-12-10","42.95","32.5625","1000.0","",""
"B00DP4AR10","2015-12-14","36.17","24.75","1000.0","",""
"B00DP4AR10","2015-12-15","36.17","20.625","1000.0","",""
"B00DP4AR10","2015-12-16","40.34","16.5","1000.0","",""
"B00DP4AR10","2015-12-17","35.64","14.4375","1000.0","",""
"B00DP4AR10","2015-12-18","35.79","12.375","1000.0","",""
"B00DP4AR10","2015-12-19","35.71","8.25","1000.0","",""
"B00DP4AR10","2015-12-20","35.71","0","1000.0","",""
"B00DP4AR10","2015-12-21","35.87","0","1000.0","",""
"B00DP4AR10","2015-12-22","35.87","0","1000.0","",""
"B00DP4AR10","2015-12-25","38.93","0","1000.0","",""
"B00DP4AR10","2015-12-28","34.94","0","1000.0","",""
"B00DP4AR10","2015-12-29","38.83","0","1000.0","",""
"B00DP4AR10","2015-12-31","37.11","0","1000.0","",""
"B00DP4AR10","2016-01-01","37.11","0","1000.0","",""
"B00DP4AR10","2016-01-03","37.11","0","1000.0","",""
"B00DP4AR10","2016-01-05","39.44","0","1000.0","",""
